,dport,sport,num_packets up,total_bytes up,min_pkt_size up,max_pkt_size up,mean_pkt_size up,std_pkt_size up,min_iat up,max_iat up,mean_iat up,std_iat up,num_packets down,total_bytes down,min_pkt_size down,max_pkt_size down,mean_pkt_size down,std_pkt_size down,min_iat down,max_iat down,mean_iat down,std_iat down,website
89,443.0,53314.0,48.0,3347.0,52.0,569.0,69.72916666666667,75.746705449972,1.5e-05,0.010952,0.00080831914893617,0.0016652830299509862,48.0,375505.0,52.0,34708.0,7823.020833333333,8166.893603275135,1.0000000000000002e-06,0.01208,0.0007780851063829788,0.0018154967439745118,bbc.co.uk
90,443.0,54312.0,17.0,1828.0,52.0,569.0,107.52941176470588,124.05952081917113,1e-05,0.21339300000000003,0.0672791875,0.10099778730395946,10.0,7318.0,52.0,6181.0,731.8,1920.7995904483805,3e-06,0.218984,0.09602755555555556,0.11207884711009379,timesofindia.com
91,443.0,54322.0,18.0,1880.0,52.0,569.0,104.44444444444444,121.0649909186954,5e-06,0.21305400000000002,0.06289758823529412,0.09915635191835848,11.0,7370.0,52.0,5844.0,670.0,1723.9938514971566,1.0000000000000002e-06,0.21843,0.085809,0.11020844997448144,timesofindia.com
92,443.0,54332.0,17.0,1828.0,52.0,569.0,107.52941176470588,124.05952081917113,9e-06,0.20938,0.06578856250000002,0.09932466376281289,10.0,7318.0,52.0,6181.0,731.8,1920.7995904483805,2.0000000000000003e-06,0.21574700000000002,0.0938516666666667,0.11072808588497321,timesofindia.com
93,443.0,54344.0,17.0,1828.0,52.0,569.0,107.52941176470588,124.05952081917113,1e-05,0.21266700000000002,0.066032375,0.09947970691544751,10.0,7318.0,52.0,6181.0,731.8,1920.7995904483805,2.0000000000000003e-06,0.21391900000000003,0.09438922222222222,0.11048603254685385,timesofindia.com
94,443.0,54360.0,17.0,1828.0,52.0,569.0,107.52941176470588,124.05952081917113,1e-05,0.20866,0.06551781250000001,0.09901805022467285,10.0,7318.0,52.0,6181.0,731.8,1920.7995904483805,3e-06,0.214092,0.09344855555555556,0.11017502634117125,timesofindia.com
95,443.0,54386.0,17.0,1828.0,52.0,569.0,107.52941176470588,124.05952081917113,9e-06,0.20844500000000002,0.0653848125,0.09882200789380118,10.0,7318.0,52.0,6181.0,731.8,1920.7995904483805,1.0000000000000002e-06,0.21355000000000002,0.0932908888888889,0.11003125964066354,timesofindia.com
96,443.0,54398.0,18.0,1880.0,52.0,569.0,104.44444444444444,121.0649909186954,4.000000000000001e-06,0.213005,0.06285476470588236,0.0991125301220344,11.0,7370.0,52.0,5844.0,670.0,1723.9938514971566,2.0000000000000003e-06,0.21830400000000003,0.0857519,0.11017171749233609,timesofindia.com
97,443.0,54406.0,18.0,1880.0,52.0,569.0,104.44444444444444,121.0649909186954,5e-06,0.208242,0.061438999999999994,0.09688502062819103,11.0,7370.0,52.0,5844.0,670.0,1723.9938514971566,2.0000000000000003e-06,0.21336500000000003,0.08381680000000001,0.10763236559676441,timesofindia.com
98,443.0,54416.0,18.0,1880.0,52.0,569.0,104.44444444444444,121.0649909186954,7.000000000000001e-06,0.20974900000000002,0.06200476470588234,0.09751336718530532,11.0,7370.0,52.0,4733.0,670.0,1416.657333302588,1.3000000000000001e-05,0.214984,0.0846733,0.10825672773761248,timesofindia.com
